phrase,target
"- The Group -Ã¯Â¿Â½ s profit before taxes was EUR 0,2 7,8 million ",neutral
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.39,neutral
"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 ",neutral
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said ",neutral
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said ",neutral
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market ,neutral
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea ",neutral
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum ,neutral
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries ",neutral
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management ,neutral
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems ",neutral
"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 ",neutral
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group ",neutral
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum ,neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes ,neutral
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million ",neutral
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News ",neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ,neutral
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 ",neutral
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources ",neutral
Activities range from the development of natural resources to the retailed marketing of finished products ,neutral
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % ",neutral
Why not subscribe to the magazine ,neutral
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze ",neutral
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting ,neutral
The EUR17m contract includes both design and construction works ,neutral
We offer our customers solutions based on renewable raw materials ,neutral
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day ",neutral
"The product range includes marinated olives , cold cuts , and pates , for example ",neutral
Net investment incom,neutral
"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) ",neutral
"According to Finnair Technical Services , the measure is above all due to the employment situation ",neutral
`` This could be us ,neutral
Its market share is 6 percent according to AC Nielsen 's 2008 data ,neutral
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 ,neutral
"Includes company and brand share data by category , as well as distribution channel data ",neutral
"The contract covers the manufacturing , surface-treatment and installation of the steel structures ",neutral
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY ",neutral
"Its annual capacity is some 10,000 MW ",neutral
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live ,neutral
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ',neutral
Raute is listed on the Nordic exchange in Helsinki ,neutral
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite ",neutral
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline ",neutral
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila ",neutral
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot ",neutral
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden ",neutral
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima ",neutral
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania ",neutral
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories ,neutral
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says ",neutral
"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa ",neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ,neutral
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized ",neutral
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module ",neutral
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi ,neutral
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo ",neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 ,neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agree",neutral
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up ",neutral
`` We could be there ,neutral
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well ",neutral
The new organization consists of two business units : Charging & Messaging and Finance & Administration ,neutral
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan ",neutral
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ,neutral
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots ",neutral
"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux ",neutral
"Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) ",neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million ,neutral
The maximum number of new shares to be offered is 22 million ,neutral
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis ",neutral
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other ",neutral
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn ",neutral
The identity of the buyer is not yet known ,neutral
Her present position is the director of Stockmann 's international department stores ,neutral
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense ",neutral
The company website is www.ahlstrom.com ,neutral
The sellers were the founders of the company ,neutral
`` The issues identified by Stonesoft affect a range of content inspection technology ,neutral
Exel wants to serve its industrial customers with individual products ,neutral
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 ,neutral
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 ",neutral
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities ,neutral
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors ,neutral
"According to latest information , Benefon will launch its Twig device on 20 September 2006 ",neutral
Financing of the project will come mainly from China ,neutral
The figure does not include food exports from Finland ,neutral
"The latest date for registration is on 4 April , 2006 ",neutral
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division ",neutral
R&D Loan ) ,neutral
Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 ,neutral
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement ,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 ,neutral
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries ",neutral
A total of $ 78 million will be invested in the project ,neutral
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system ,neutral
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said ",neutral
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees ",neutral
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking ",neutral
EUR 152.4 mn of this was net interest income ,neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ",neutral
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ",neutral
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision ,neutral
HK Ruokatalo 's target is to know the consumers ,neutral
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m ,neutral
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote ",neutral
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries ",neutral
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 ",neutral
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 ",neutral
The agreement is valid for four years ,neutral
The value of the order is about EUR 30mn ,neutral
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis ,neutral
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council ",neutral
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ,neutral
The investment would be some EUR5m ,neutral
The value of the contract is about EUR 27mn ,neutral
"Financial , strategic and operational factors are considered ",neutral
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) ,neutral
The first of the two project phases is expected to be completed by the end of 2012 ,neutral
The employee negotiations are to address measures needed to adjust the operations to the present production situation ,neutral
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries ",neutral
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services ",neutral
"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 ",neutral
The value of the multi-year agreement is over EUR 2mn a year ,neutral
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 ",neutral
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc and Pohjola Bank Plc. ",neutral
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' ,neutral
The reductions will be concluded by autumn 2010 ,neutral
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program ,neutral
Other details were not provided ,neutral
The combined value of the orders is EUR 45mn ,neutral
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ",neutral
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 ,neutral
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy ,neutral
Okmetic has used the furnaces for the contract manufacturing of solar crystals ,neutral
( The acquisition sum has not been disclosed . ,neutral
The invention carries International Patent Publication No. ,neutral
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction ",neutral
The company specialises in temporary electrification and heating at construction sites ,neutral
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ,neutral
Financial terms were n't disclosed ,neutral
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia ",neutral
"The total size of the complex is around 25,000 m2 and the project will be constructed in stages ",neutral
The customers will have an access to integrated propeller and gear packages from one source ,neutral
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position ",neutral
"When dialing in , the participants should quote 877417 as conference ID ",neutral
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said ",neutral
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia ,neutral
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % ",neutral
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market ",neutral
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki ",neutral
The measures taken will cause one-time costs during the final part of 2006 ,neutral
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color ,neutral
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding ",neutral
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec ,neutral
"The share capital of Basware Corporation is 11,720,829 ",neutral
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com ,neutral
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing ",neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia ,neutral
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % ",neutral
The group 's net sales in 2007 were EUR683 .6 m,neutral
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide ,neutral
It will report full-year results on August 22 ,neutral
The value of the order is nearly EUR400m ,neutral
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details ",neutral
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 ",neutral
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland ",neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ,neutral
"In Penttil+Ã¯Â¿Â½ 's vision , the most important reason for the transaction is Russia ",neutral
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business ",neutral
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 ,neutral
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said ",neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan ,neutral
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges ",neutral
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty ",neutral
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year ",neutral
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report ,neutral
The net sales of the Power Plants business were EUR 710.3 million in 2005 ,neutral
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme ",neutral
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million ,neutral
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 ",neutral
It is expected to be completed by the end of 2007 ,neutral
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 ",neutral
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights ,neutral
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI ,neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ",neutral
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-Ã¯Â¿Â½323-Ã¯Â¿Â½6201 USA ",neutral
No service pricing details were disclosed ,neutral
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer ",neutral
"The facility will be used to refinance Citycon 's existing credit facility , the company said ",neutral
"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place ",neutral
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register ,neutral
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 ",neutral
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds ",neutral
Arena Partners Oy is a development company for electronic business ,neutral
Raisio is the site of the main production plants as well as company headquarters ,neutral
The building will house product development and test laboratories ,neutral
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don ",neutral
"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland ",neutral
The share subscription period will expire on 30 September 2007 ,neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ",neutral
"She will succeed Krister Kylas , who has decided to leave TeliaSonera ",neutral
Union and company officials did not return calls yesterday ,neutral
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format ,neutral
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland ",neutral
"The acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers ",neutral
"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences ",neutral
The presentation material can be viewed on the company 's website in English after the conference ,neutral
"The firm is headquartered in Vantaa , southern Finland and has 16 employees ",neutral
"In 2007 , Etteplan had turnover of EUR125 .2 m",neutral
Coffee will be served starting at 14:30 EET as well as after the event ,neutral
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 ,neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations ,neutral
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 ",neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital ",neutral
The webcast may be followed online on the company website at www.ruukki.com/investors ,neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights ,neutral
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 ,neutral
The shares represented 4.998 % of total share capital and 2.14 % of total voting rights ,neutral
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely ",neutral
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares ",neutral
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group ",neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported ",neutral
Marimekko is considering further measures in the matter ,neutral
The fine print is here ,neutral
`` We are selling an information systems development business to the Finns ,neutral
The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
The company says the measures are no longer needed ,neutral
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights ",neutral
The company expects meat purchases to remain at about 8mn kilos in 2011 ,neutral
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit ",neutral
"L+Ã¯Â¿Â½nnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish ",neutral
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . '",neutral
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. ,neutral
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International ",neutral
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team ",neutral
A few employees would remain at the Oulu plant in support functions for other group units ,neutral
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics ",neutral
"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 ",neutral
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China ",neutral
"SCOPI Chief Business Excellence Officer , Eng ",neutral
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital ",neutral
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ",neutral
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices ",neutral
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital ",neutral
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand ",neutral
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 ",neutral
"In this way , the industry 's starting point has been the consumers ' needs ",neutral
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards ,neutral
The financial details of the acquisition were not disclosed ,neutral
Total value of the contract is about EUR 10mn ,neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland ",neutral
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ",neutral
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said ",neutral
"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom ",neutral
"Nordstjernan will make the offer in approximately one month , in September 2007 ",neutral
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 ,neutral
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy ",neutral
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree ",neutral
The company 's model is based on developer contracting construction projects and customer focused project management ,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki ",neutral
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus ",neutral
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . '",neutral
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk ,neutral
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms ",neutral
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ,neutral
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen ",neutral
No financial details were revealed ,neutral
"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara ",neutral
The new SEPA cads will replace Finnish bank cards ,neutral
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations ",neutral
"The total number of voting rights is 74,612,523 ",neutral
"The parties have agreed not to disclose the price of the deal , the group said in a press release ",neutral
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia ",neutral
`` Our aim is to understand different traffic patterns based on the use of each building ,neutral
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red ",neutral
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy ",neutral
"So far as is known , he did not sell shares that he owns personally ",neutral
The project is expected to be completed in 2009 ,neutral
"8,600 m , and at the time of investment it is fully leased to several tenants ",neutral
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley ",neutral
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 ,neutral
This amount will not be included in the pensionable salary ,neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK ,neutral
The solution will be installed in the USA to support the North American operations of the customer ,neutral
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -Ã¯Â¿Â½ Copyright of Globes Publisher Itonut 1983 Ltd. 200",neutral
The total value of the deliveries is some EUR65m ,neutral
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq ,neutral
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same ",neutral
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental ,neutral
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia ",neutral
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space ",neutral
